route_id,agency_id,route_short_name,route_long_name,route_type
"60-1-b12-1",978,1,,3
"60-102-b12-1",978,102,,3
"60-104-b12-1",978,104,,3
"60-11-b12-1",978,11,,3
"60-111-b12-1",978,111,,3
"60-114-b12-1",978,114,,3
"60-116-b12-1",978,116,,3
"60-118-b12-1",978,118,,3
"60-120-b12-1",978,120,,3
"60-122-b12-1",978,122,,3
"60-123-b12-1",978,123,,3
"60-13-b12-1",978,13,,3
"60-130-b12-1",978,130,,3
"60-14-b12-1",978,14,,3
"60-140-b12-1",978,140,,3
"60-142-b12-1",978,142,,3
"60-145-b12-1",978,145,,3
"60-14C-b12-1",978,14c,,3
"60-15-b12-1",978,15,,3
"60-15D-b12-1",978,15d,,3
"60-150-b12-1",978,150,,3
"60-155-b12-1",978,155,,3
"60-151-b12-1",978,151,,3
"60-15A-b12-1",978,15a,,3
"60-15B-b12-1",978,15b,,3
"60-16-b12-1",978,16,,3
"60-161-b12-1",978,161,,3
"60-16C-b12-1",978,16c,,3
"60-16D-b12-1",978,16d,,3
"60-17-b12-1",978,17,,3
"60-17A-b12-1",978,17a,,3
"60-18-b12-1",978,18,,3
"60-184-b12-1",978,184,,3
"60-185-b12-1",978,185,,3
"60-220-b12-1",978,220,,3
"60-236-b12-1",978,236,,3
"60-238-b12-1",978,238,,3
"60-239-b12-1",978,239,,3
"60-25-b12-1",978,25,,3
"60-25A-b12-1",978,25a,,3
"60-25B-b12-1",978,25b,,3
"60-25D-b12-1",978,25d,,3
"60-25X-b12-1",978,25x,,3
"60-26-b12-1",978,26,,3
"60-27-b12-1",978,27,,3
"60-270-b12-1",978,270,,3
"60-27A-b12-1",978,27a,,3
"60-27B-b12-1",978,27b,,3
"60-27X-b12-1",978,27x,,3
"60-29A-b12-1",978,29a,,3
"60-31-b12-1",978,31,,3
"60-31A-b12-1",978,31a,,3
"60-31B-b12-1",978,31b,,3
"60-31D-b12-1",978,31d,,3
"60-32-b12-1",978,32,,3
"60-32X-b12-1",978,32x,,3
"60-33-b12-1",978,33,,3
"60-33A-b12-1",978,33a,,3
"60-33B-b12-1",978,33b,,3
"60-33D-b12-1",978,33b,,3
"60-33E-b12-1",978,33e,,3
"60-33X-b12-1",978,33x,,3
"60-37-b12-1",978,37,,3
"60-38-b12-1",978,38,,3
"60-38A-b12-1",978,38a,,3
"60-38B-b12-1",978,38b,,3
"60-38D-b12-1",978,38d,,3
"60-39-b12-1",978,39,,3
"60-39A-b12-1",978,39a,,3
"60-39X-b12-1",978,39x,,3
"60-4-b12-1",978,4,,3
"60-40-b12-1",978,40,,3
"60-40B-b12-1",978,40b,,3
"60-40D-b12-1",978,40d,,3
"60-40E-b12-1",978,40e,,3
"60-41-b12-1",978,41,,3
"60-41A-b12-1",978,41a,,3
"60-41B-b12-1",978,41b,,3
"60-41C-b12-1",978,41c,,3
"60-41D-b12-1",978,41d,,3
"60-41X-b12-1",978,41x,,3
"60-42-b12-1",978,42,,3
"60-42D-b12-1",978,42d,,3
"60-43-b12-1",978,43,,3
"60-44-b12-1",978,44,,3
"60-44B-b12-1",978,44b,,3
"60-45A-b12-1",978,45a,,3
"60-46A-b12-1",978,46a,,3
"60-46E-b12-1",978,46e,,3
"60-47-b12-1",978,47,,3
"60-49-b12-1",978,49,,3
"60-51D-b12-1",978,51d,,3
"60-51X-b12-1",978,51x,,3
"60-53-b12-1",978,53,,3
"60-53A-b12-1",978,53a,,3
"60-54A-b12-1",978,54a,,3
"60-56A-b12-1",978,56a,,3
"60-59-b12-1",978,59,,3
"60-6-b12-1",978,6,,3
"60-61-b12-1",978,61,,3
"60-63-b12-1",978,63,,3
"60-65-b12-1",978,65,,3
"60-65B-b12-1",978,65b,,3
"60-66-b12-1",978,66,,3
"60-66A-b12-1",978,66a,,3
"60-66B-b12-1",978,66b,,3
"60-66E-b12-1",978,66e,,3
"60-66X-b12-1",978,66x,,3
"60-67-b12-1",978,67,,3
"60-67X-b12-1",978,67x,,3
"60-68-b12-1",978,68,,3
"60-68X-b12-1",978,68x,,3
"60-68A-b12-1",978,68a,,3
"60-69-b12-1",978,69,,3
"60-69X-b12-1",978,69x,,3
"60-7-b12-1",978,7,,3
"60-7A-b12-1",978,7a,,3
"60-70-b12-1",978,70,,3
"60-70D-b12-1",978,70d,,3
"60-747-b12-1",978,747,,3
"60-75-b12-1",978,75,,3
"60-76-b12-1",978,76,,3
"60-76A-b12-1",978,76a,,3
"60-77A-b12-1",978,77a,,3
"60-77X-b12-1",978,77x,,3
"60-79-b12-1",978,79,,3
"60-79A-b12-1",978,79a,,3
"60-7B-b12-1",978,7b,,3
"60-7D-b12-1",978,7d,,3
"60-8-b12-1",978,8,,3
"60-83-b12-1",978,83,,3
"60-83A-b12-1",978,83a,,3
"60-84-b12-1",978,84,,3
"60-84A-b12-1",978,84a,,3
"60-84X-b12-1",978,84x,,3
"60-86-b12-1",978,86,,3
"60-9-b12-1",978,9,,3
"60-451-b12-1",978,451,,3
"60-757-b12-1",978,757,,3
"60-H1-b12-1",978,H1,,3
"60-H2-b12-1",978,H2,,3
"60-H3-b12-1",978,H3,,3
"60-H9-b12-1",978,H9,,3
"60-1-d12-1",978,1,,3
"60-102-d12-1",978,102,,3
"60-104-d12-1",978,104,,3
"60-11-d12-1",978,11,,3
"60-111-d12-1",978,111,,3
"60-114-d12-1",978,114,,3
"60-116-d12-1",978,116,,3
"60-118-d12-1",978,118,,3
"60-120-d12-1",978,120,,3
"60-122-d12-1",978,122,,3
"60-123-d12-1",978,123,,3
"60-13-d12-1",978,13,,3
"60-130-d12-1",978,130,,3
"60-14-d12-1",978,14,,3
"60-140-d12-1",978,140,,3
"60-142-d12-1",978,142,,3
"60-145-d12-1",978,145,,3
"60-14C-d12-1",978,14c,,3
"60-15-d12-1",978,15,,3
"60-15D-d12-1",978,15d,,3
"60-150-d12-1",978,150,,3
"60-151-d12-1",978,151,,3
"60-155-d12-1",978,155,,3
"60-15A-d12-1",978,15a,,3
"60-15B-d12-1",978,15b,,3
"60-16-d12-1",978,16,,3
"60-161-d12-1",978,161,,3
"60-16C-d12-1",978,16c,,3
"60-16D-d12-1",978,16d,,3
"60-17-d12-1",978,17,,3
"60-17A-d12-1",978,17a,,3
"60-18-d12-1",978,18,,3
"60-184-d12-1",978,184,,3
"60-185-d12-1",978,185,,3
"60-220-d12-1",978,220,,3
"60-236-d12-1",978,236,,3
"60-238-d12-1",978,238,,3
"60-239-d12-1",978,239,,3
"60-25-d12-1",978,25,,3
"60-25A-d12-1",978,25a,,3
"60-25B-d12-1",978,25b,,3
"60-25D-d12-1",978,25d,,3
"60-25X-d12-1",978,25x,,3
"60-26-d12-1",978,26,,3
"60-27-d12-1",978,27,,3
"60-270-d12-1",978,270,,3
"60-27A-d12-1",978,27a,,3
"60-27B-d12-1",978,27b,,3
"60-27X-d12-1",978,27x,,3
"60-29A-d12-1",978,29a,,3
"60-31-d12-1",978,31,,3
"60-31A-d12-1",978,31a,,3
"60-31B-d12-1",978,31b,,3
"60-31D-d12-1",978,31d,,3
"60-32-d12-1",978,32,,3
"60-32X-d12-1",978,32x,,3
"60-33-d12-1",978,33,,3
"60-33A-d12-1",978,33a,,3
"60-33B-d12-1",978,33b,,3
"60-33D-d12-1",978,33d,,3
"60-33E-d12-1",978,33e,,3
"60-33X-d12-1",978,33x,,3
"60-37-d12-1",978,37,,3
"60-38-d12-1",978,38,,3
"60-38A-d12-1",978,38a,,3
"60-38B-d12-1",978,38b,,3
"60-38D-d12-1",978,38d,,3
"60-39-d12-1",978,39,,3
"60-39A-d12-1",978,39a,,3
"60-39X-d12-1",978,39x,,3
"60-4-d12-1",978,4,,3
"60-40-d12-1",978,40,,3
"60-40B-d12-1",978,40b,,3
"60-40D-d12-1",978,40d,,3
"60-40E-d12-1",978,40e,,3
"60-41-d12-1",978,41,,3
"60-41A-d12-1",978,41a,,3
"60-41B-d12-1",978,41b,,3
"60-41C-d12-1",978,41c,,3
"60-41D-d12-1",978,41d,,3
"60-41X-d12-1",978,41x,,3
"60-42-d12-1",978,42,,3
"60-42D-d12-1",978,42d,,3
"60-43-d12-1",978,43,,3
"60-44-d12-1",978,44,,3
"60-44B-d12-1",978,44b,,3
"60-45A-d12-1",978,45a,,3
"60-46A-d12-1",978,46a,,3
"60-46E-d12-1",978,46e,,3
"60-47-d12-1",978,47,,3
"60-49-d12-1",978,49,,3
"60-51D-d12-1",978,51d,,3
"60-51X-d12-1",978,51x,,3
"60-53-d12-1",978,53,,3
"60-53A-d12-1",978,53a,,3
"60-54A-d12-1",978,54a,,3
"60-56A-d12-1",978,56a,,3
"60-59-d12-1",978,59,,3
"60-61-d12-1",978,61,,3
"60-63-d12-1",978,63,,3
"60-65-d12-1",978,65,,3
"60-65B-d12-1",978,65b,,3
"60-66-d12-1",978,66,,3
"60-66A-d12-1",978,66a,,3
"60-66B-d12-1",978,66b,,3
"60-66E-d12-1",978,66e,,3
"60-66X-d12-1",978,66x,,3
"60-67-d12-1",978,67,,3
"60-67X-d12-1",978,67x,,3
"60-68-d12-1",978,68,,3
"60-68X-d12-1",978,68x,,3
"60-68A-d12-1",978,68a,,3
"60-69-d12-1",978,69,,3
"60-69X-d12-1",978,69x,,3
"60-7-d12-1",978,7,,3
"60-7A-d12-1",978,7a,,3
"60-70-d12-1",978,70,,3
"60-70D-d12-1",978,70d,,3
"60-747-d12-1",978,747,,3
